,label,count,mean,std,min,max,skew,kurtosis,missing_count
Q12_1,구성원 실수 책임 공유,2000.0,3.314,0.978,1.0,5.0,-0.441,-0.197,0
Q12_2,구성원 다양성 존중,2000.0,3.382,0.957,1.0,5.0,-0.493,-0.098,0
Q12_3,구성원 간 도움 요청의 자유로움,2000.0,3.496,0.969,1.0,5.0,-0.471,-0.134,0
Q12_4,나의 노력에 대한 존중,2000.0,3.636,0.962,1.0,5.0,-0.69,0.355,0
Q19_7,동료들과 새로운 정보 공유 정도,2000.0,3.806,0.769,1.0,5.0,-0.498,0.385,0
Q19_8,동료들과 업무에 대한 공유 정도,2000.0,3.641,0.854,1.0,5.0,-0.391,-0.053,0
Q19_9,"특정지식 필요 시, 동료를 통한 습득",2000.0,3.906,0.76,1.0,5.0,-0.713,1.084,0
Q19_10,"특정 배움 필요 시, 동료에게 가르침 요청 정도",2000.0,3.936,0.772,1.0,5.0,-0.645,0.697,0
Q28_4,업무 문제점 해결을 위한 신규 아이디어 개발,2000.0,3.742,0.791,1.0,5.0,-0.346,-0.086,0
Q28_5,업무 수행에 활용되는 신규 방법 등을 찾으려는 노력,2000.0,3.92,0.755,1.0,5.0,-0.474,0.304,0
Q28_6,혁신적 아이디어 공감,2000.0,3.796,0.774,1.0,5.0,-0.286,-0.144,0
Q28_7,혁신적 아이디어 적용을 위한 노력,2000.0,3.71,0.782,1.0,5.0,-0.248,-0.032,0
